EPIC,Campaign,Candidate,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
211969807,5,211969807.01,3.513,0.182,1.766,0.106,1.9743020,0.0001850,0.02446,0.00026,64.904,2.902,207.675,0.216
211990866,18,211990866.01,3.217,0.088,3.700,0.268,1.6738470,0.0000375,0.02846,0.00077,2052.822,198.813,159.833,0.746
212006344,18,212006344.01,2.025,0.112,1.217,0.082,2.2189610,0.0001464,0.02812,0.00031,103.139,4.825,55.158,0.682
212006344,5,212006344.01,2.074,0.097,1.238,0.065,2.2193940,0.0000616,0.02816,0.00034,103.535,4.541,45.993,0.713
212008766,5,212008766.01,2.975,0.120,2.121,0.199,14.1321240,0.0009029,0.10297,0.00268,28.754,2.866,37.103,0.135
212008766,18,212008766.01,2.923,0.120,2.119,0.182,14.1346890,0.0034511,0.10366,0.00308,28.290,2.898,39.015,0.117
212012119,18,212012119.01,2.907,0.331,1.999,0.269,3.2807530,0.0002143,0.03831,0.00112,163.189,14.235,190.567,0.279
212012119,5,212012119.01,2.917,0.309,2.029,0.255,3.2808290,0.0000766,0.03832,0.00109,164.466,17.535,50.563,0.276
212012119,5,212012119.02,3.277,0.363,2.274,0.281,8.4387100,0.0001285,0.07212,0.00177,46.790,4.348,50.563,0.555
212012119,18,212012119.02,3.163,0.307,2.200,0.279,8.4397090,0.0008199,0.07192,0.00194,47.163,3.938,190.567,0.521
212035441,18,212035441.01,2.871,0.211,1.144,0.091,2.7147430,0.0002787,0.02764,0.00031,23.856,1.046,215.769,0.114
212036875,16,212036875.01,6.766,0.172,9.876,0.784,5.1699120,0.0000515,0.06289,0.00164,754.793,74.422,93.070,0.934
212048046,16,212048046.01,4.815,0.647,3.248,0.504,9.3752660,0.0005957,0.07619,0.00235,35.787,3.926,391.240,0.411
212069861,5,212069861.01,4.671,0.231,2.766,0.163,30.9541440,0.0016658,0.16212,0.00199,2.998,0.125,216.526,0.496
212069861,16,212069861.01,4.419,0.255,2.597,0.161,30.9597860,0.0021737,0.16273,0.00201,2.983,0.143,151.353,0.583
212072539,5,212072539.01,3.320,0.194,1.582,0.111,2.7871550,0.0001580,0.03042,0.00035,39.716,1.969,259.735,0.168
212072539,16,212072539.01,3.690,0.251,1.755,0.127,2.7871750,0.0001638,0.03047,0.00038,39.731,1.924,274.607,0.496
212072539,5,212072539.02,4.202,0.227,1.998,0.110,7.6771770,0.0003954,0.05985,0.00068,10.447,0.542,259.735,0.343
212072539,16,212072539.02,4.711,0.229,2.240,0.120,7.6775380,0.0003805,0.06001,0.00067,10.239,0.467,274.607,0.245
212085740,18,212085740.01,7.931,0.337,9.190,0.732,2.4228300,0.0000952,0.03565,0.00095,981.249,100.068,620.486,0.690
212110888,18,212110888.01,9.871,0.274,13.473,1.097,2.9956250,0.0000095,0.04336,0.00119,1242.873,128.593,27.625,0.867
212110888,16,212110888.01,9.954,0.306,13.741,1.186,2.9956280,0.0000107,0.04337,0.00120,1267.714,107.031,147.217,0.872
212110888,5,212110888.01,9.982,0.295,13.968,0.904,2.9956350,0.0000075,0.04322,0.00115,1256.236,114.568,39.006,0.870
212130773,5,212130773.01,3.793,0.419,3.254,0.443,18.7132770,0.0022782,0.12587,0.00355,21.657,2.129,103.942,0.157
212136123,5,212136123.01,2.762,0.283,2.065,0.234,2.2261940,0.0002112,0.03030,0.00078,333.929,36.241,445.275,0.281
212154564,16,212154564.01,7.620,0.394,3.089,0.174,6.4142040,0.0001037,0.04962,0.00057,8.187,0.313,349.821,0.592
212154564,5,212154564.01,7.402,0.311,2.978,0.153,6.4143020,0.0005157,0.04965,0.00057,8.213,0.335,259.458,0.531
212154564,18,212154564.01,7.095,0.357,2.872,0.169,6.4148700,0.0003189,0.04956,0.00050,8.217,0.323,333.450,0.527
212157262,5,212157262.01,1.970,0.177,1.698,0.186,2.8718000,0.0001392,0.03756,0.00105,421.407,38.636,129.820,0.309
212157262,5,212157262.02,3.531,0.379,3.087,0.455,7.1505340,0.0003500,0.06932,0.00184,122.857,12.572,129.820,0.545
212157262,5,212157262.03,2.464,0.259,2.245,0.262,13.6056490,0.0010101,0.10668,0.00293,52.051,5.000,129.820,0.321
212161956,18,212161956.01,3.863,0.466,2.249,0.330,7.1895370,0.0018845,0.06353,0.01086,29.298,45.015,180.289,0.300
212164470,5,212164470.01,1.185,0.062,1.387,0.103,1.7431130,0.0001793,0.02920,0.00076,1763.818,162.994,50.366,0.298
212164470,16,212164470.02,2.584,0.116,3.069,0.235,7.8065470,0.0004033,0.07902,0.00225,244.407,22.560,77.489,0.641
212164470,5,212164470.02,2.292,0.105,2.667,0.200,7.8090310,0.0007197,0.07927,0.00220,239.411,25.890,50.366,0.576
212164470,18,212164470.02,2.267,0.108,2.686,0.212,7.8095410,0.0007093,0.07892,0.00190,245.354,21.930,71.105,0.629
212204403,16,212204403.01,4.029,0.441,3.396,0.437,4.6888040,0.0001073,0.05032,0.00124,149.288,13.302,88.656,0.448
212204403,16,212204403.02,3.552,0.339,2.909,0.342,12.5500530,0.0008573,0.09726,0.00284,40.793,3.850,88.656,0.352
212219881,16,212219881.01,11.752,1.262,8.442,1.054,6.9248440,0.0000904,0.06533,0.00171,83.328,9.226,287.971,0.647
212225150,16,212225150.01,2.624,0.133,3.165,0.253,15.6304340,0.0038960,0.12137,0.00288,64.180,5.869,173.224,0.129
212278644,6,212278644.01,2.224,0.223,3.167,0.411,12.4280630,0.0033676,0.10884,0.00284,139.438,13.863,114.449,0.349
212283840,6,212283840.01,4.054,0.866,3.545,0.765,16.7150290,0.0010981,0.11923,0.00328,31.290,2.899,87.321,0.964
212346723,6,212346723.01,1.870,0.171,2.450,0.295,15.9483770,0.0022275,0.12998,0.00373,114.741,10.861,86.576,0.285
212349118,6,212349118.01,2.277,0.218,2.844,0.296,2.5481930,0.0001406,0.03750,0.00104,1065.433,103.339,92.288,0.264
212380207,6,212380207.01,2.712,0.229,2.231,0.260,26.1425840,0.0039585,0.16170,0.00434,18.795,1.930,80.127,0.324
212394689,6,212394689.01,1.676,0.149,1.499,0.164,2.5881940,0.0001010,0.03533,0.00096,479.817,53.638,35.862,0.294
212394689,6,212394689.02,2.910,0.260,2.584,0.290,6.6791050,0.0001507,0.06648,0.00185,133.329,11.562,35.862,0.568
212409658,6,212409658.01,2.221,0.310,1.557,0.223,3.7463320,0.0009870,0.04340,0.00633,92.068,63.405,124.249,0.519
212421749,6,212421749.01,3.390,0.379,2.566,0.354,25.3563450,0.0052828,0.15579,0.00448,15.142,1.461,131.024,0.299
212422536,6,212422536.01,2.888,0.320,2.077,0.274,15.7089710,0.0014972,0.10687,0.00316,16.576,1.645,131.905,0.266
212424622,6,212424622.01,1.981,0.190,2.440,0.293,12.0157570,0.0013478,0.10515,0.00307,136.346,15.172,50.639,0.392
212425103,6,212425103.01,1.854,0.179,1.461,0.185,0.9459220,0.0000708,0.01763,0.00047,1390.115,145.028,148.238,0.294
212440430,6,212440430.01,2.809,0.227,2.660,0.273,19.9889070,0.0024050,0.14177,0.00370,43.043,4.014,75.433,0.425
212496592,17,212496592.01,1.890,0.215,1.610,0.200,2.8593650,0.0004936,0.03654,0.00091,315.303,28.009,80.917,0.324
212499991,6,212499991.01,3.115,0.353,2.373,0.342,15.3860780,0.0009681,0.10926,0.00328,26.888,2.704,88.017,0.772
212524671,6,212524671.01,5.738,0.489,2.722,0.251,5.7654170,0.0007343,0.04916,0.00051,13.658,0.674,513.647,0.787
212529560,6,212529560.01,2.217,0.233,2.224,0.272,8.1208570,0.0013699,0.07799,0.00212,149.342,15.282,123.744,0.466
212543933,6,212543933.01,2.355,0.248,2.266,0.266,7.8066020,0.0007153,0.07559,0.00192,141.144,12.855,79.350,0.686
212554013,17,212554013.01,13.750,1.567,13.086,1.750,3.5880770,0.0000505,0.04320,0.00118,278.100,30.202,283.339,0.770
212562715,17,212562715.01,2.616,0.280,2.368,0.275,13.5212910,0.0025912,0.10638,0.00294,58.063,4.921,75.769,0.743
212562715,6,212562715.01,2.696,0.231,2.394,0.246,13.5242260,0.0018195,0.10673,0.00275,56.712,5.233,80.877,0.799
212569876,6,212569876.01,3.059,0.342,2.095,0.282,21.3797930,0.0039173,0.13276,0.00330,12.387,1.034,168.751,0.169
212575828,6,212575828.01,4.033,0.452,2.867,0.417,2.0604380,0.0000901,0.02810,0.00081,311.864,27.812,248.250,0.402
212580872,17,212580872.01,4.056,0.347,3.798,0.403,14.7887490,0.0006914,0.11414,0.00295,57.964,5.533,53.237,0.395
212583602,6,212583602.01,2.034,0.212,2.804,0.346,35.9500000,0.0033956,0.22100,0.00637,36.687,3.248,54.394,0.857
212585579,6,212585579.01,5.337,0.773,5.863,0.954,3.0219380,0.0000555,0.04149,0.00111,789.076,71.683,85.325,0.983
212587672,17,212587672.01,2.771,0.205,2.776,0.278,23.2292810,0.0028427,0.15947,0.00467,43.520,4.339,71.225,0.832
212587672,6,212587672.01,2.842,0.247,2.886,0.313,23.2294150,0.0010696,0.16003,0.00429,43.969,4.755,42.504,0.843
212616320,6,212616320.01,2.301,0.261,2.298,0.302,12.3466630,0.0043467,0.10329,0.00306,84.060,8.081,118.368,0.245
212619190,17,212619190.01,2.476,0.464,3.291,0.690,0.9117990,0.0000452,0.01879,0.00053,4009.781,477.951,112.025,0.955
212621075,6,212621075.01,3.034,0.322,2.148,0.272,31.4799460,0.0036288,0.17543,0.00448,9.990,0.881,130.544,0.272
212622766,6,212622766.01,2.094,0.211,1.910,0.229,6.0224160,0.0004396,0.06223,0.00174,176.182,17.302,72.822,0.812
212636654,17,212636654.01,1.816,0.171,1.807,0.202,11.0908220,0.0020034,0.09649,0.00250,95.088,9.291,52.434,0.421
212648083,6,212648083.01,2.585,0.276,2.918,0.334,20.5875310,0.0022086,0.14681,0.00384,49.800,4.784,88.196,0.716
212652418,6,212652418.01,2.066,0.166,2.718,0.292,19.1374170,0.0024981,0.14613,0.00388,86.540,9.436,43.328,0.875
212658818,17,212658818.01,1.144,0.120,1.077,0.128,2.3215900,0.0003937,0.03268,0.00091,606.377,63.804,49.704,0.314
212661144,6,212661144.01,3.594,0.398,3.484,0.460,2.4586950,0.0000565,0.03476,0.00089,650.669,58.110,97.833,0.920
212661144,17,212661144.01,3.833,0.394,3.701,0.463,2.4588330,0.0001419,0.03484,0.00090,643.067,69.119,135.864,0.899
212672300,17,212672300.01,2.290,0.239,3.092,0.394,19.8709240,0.0055791,0.15260,0.00417,98.867,9.848,76.128,0.196
212689874,6,212689874.01,3.274,0.279,3.141,0.326,15.8539480,0.0007120,0.12169,0.00298,60.870,4.912,40.232,0.276
212689874,17,212689874.01,3.300,0.236,3.213,0.296,15.8560180,0.0008373,0.12191,0.00302,59.907,5.270,38.533,0.320
212689874,17,212689874.02,2.652,0.211,2.555,0.258,28.4535910,0.0029656,0.17967,0.00489,27.846,2.532,38.533,0.310
212690867,17,212690867.01,4.720,0.272,1.964,0.116,25.8564910,0.0032577,0.12939,0.00153,1.667,0.091,182.563,0.287
212690867,6,212690867.01,5.016,0.260,2.111,0.124,25.8595840,0.0027694,0.12928,0.00148,1.657,0.077,173.054,0.411
212691727,6,212691727.01,4.064,0.368,4.234,0.506,6.4303830,0.0004675,0.06734,0.00193,223.326,22.918,123.274,0.186
212697709,6,212697709.01,11.201,1.019,12.357,1.386,3.9516220,0.0000122,0.04871,0.00114,458.410,46.124,32.021,0.923
212730483,6,212730483.01,1.773,0.181,1.209,0.145,3.4909670,0.0002815,0.03918,0.00099,121.592,10.837,46.442,0.737
212735133,17,212735133.01,3.026,0.329,2.070,0.274,7.6855050,0.0011596,0.06916,0.00211,65.943,7.439,187.333,0.314
212743333,6,212743333.01,4.777,0.575,3.377,0.431,14.7851030,0.0010766,0.10384,0.00232,19.678,1.804,125.423,0.895
212746655,6,212746655.01,2.983,0.316,2.941,0.365,34.3831930,0.0044189,0.20594,0.00551,23.451,2.334,109.047,0.826
212753343,17,212753343.01,1.421,9.265,1.901,11.782,19.9842170,0.0032929,0.15443,0.00407,105.711,11.084,28.323,0.398
212771557,17,212771557.01,2.559,0.248,2.170,0.238,8.4910030,0.0006853,0.07631,0.00202,86.910,7.663,132.885,0.444
212779596,6,212779596.01,2.591,0.294,1.683,0.229,3.2252340,0.0000818,0.03678,0.00108,128.747,12.774,46.844,0.283
212779596,6,212779596.02,4.729,0.555,3.097,0.414,7.3741140,0.0000847,0.06409,0.00167,42.251,3.899,46.844,0.820
212817071,17,212817071.01,2.605,0.274,2.037,0.252,12.2456800,0.0022399,0.09673,0.00261,48.006,4.227,105.809,0.552
212830737,17,212830737.01,2.843,0.253,2.908,0.323,26.9394330,0.0049762,0.17129,0.00459,27.938,2.462,114.200,0.411
212848465,17,212848465.01,1.951,0.189,2.207,0.250,13.4733210,0.0052892,0.11217,0.00247,103.207,8.787,77.755,0.324
212870185,17,212870185.01,3.240,0.394,3.392,0.499,6.1162380,0.0005428,0.06445,0.00166,222.167,19.797,100.684,0.540
212883391,17,212883391.01,3.233,0.304,2.620,0.332,9.6683730,0.0014768,0.08339,0.00201,72.667,7.410,161.164,0.776
213546283,7,213546283.01,3.607,0.377,4.234,0.551,9.7704650,0.0004647,0.08960,0.00250,137.431,13.323,78.911,0.824
213817056,7,213817056.01,3.987,0.409,3.480,0.413,13.6118490,0.0003596,0.10036,0.00266,29.346,2.908,77.949,0.623
214173069,7,214173069.01,2.576,0.351,1.985,0.286,8.7779360,0.0009590,0.07321,0.00183,39.464,3.451,129.948,0.621
215816368,7,215816368.01,16.376,1.995,19.263,2.951,10.1462010,0.0005123,0.09095,0.00270,115.052,16.265,449.405,0.310
215969174,7,215969174.01,12.426,1.071,13.179,1.595,4.1751970,0.0000154,0.05071,0.00125,411.892,37.927,109.098,0.675
216231580,7,216231580.01,12.722,1.344,14.517,1.925,3.9052920,0.0000965,0.04762,0.00128,370.954,42.800,839.231,0.718
216363472,7,216363472.01,1.406,0.127,1.467,0.161,8.6944780,0.0013851,0.07975,0.00228,114.598,10.498,45.368,0.551
216494238,7,216494238.01,6.132,0.477,7.878,0.909,19.8952210,0.0004324,0.14542,0.00369,59.013,5.150,30.328,0.595
217084873,7,217084873.01,4.844,0.440,4.863,0.578,8.6015670,0.0001575,0.07815,0.00203,96.620,8.850,145.895,0.323
217149884,7,217149884.01,19.483,2.142,23.355,3.156,16.6923390,0.0000675,0.12880,0.00355,72.229,6.478,123.643,0.636
217192839,7,217192839.01,3.021,0.380,2.003,0.286,16.0346560,0.0016404,0.11429,0.01885,13.016,6.949,59.023,0.338
217192839,7,217192839.02,2.558,0.316,1.698,0.235,26.8030230,0.0028459,0.16702,0.01815,6.267,1.749,59.023,0.497
217977895,7,217977895.01,2.540,0.239,2.180,0.257,21.7001560,0.0018453,0.14394,0.00386,24.899,2.382,60.082,0.346
218705353,7,218705353.01,1.391,0.274,4.633,0.960,1.9351530,0.0002562,0.03885,0.00100,15667.404,1489.653,31.669,0.971
218973982,7,218973982.01,9.342,2.859,4.550,1.465,4.8852230,0.0008957,0.04518,0.00124,19.460,4.350,1166.759,0.485
219111248,7,219111248.01,3.639,0.197,2.188,0.135,4.3592010,0.0003547,0.04405,0.00055,41.464,2.014,260.772,0.516
219388192,7,219388192.01,11.133,0.908,11.742,1.348,5.2926400,0.0000399,0.05829,0.00149,253.723,22.257,224.635,0.706
220186645,8,220186645.01,2.296,0.207,2.850,0.322,7.0563970,0.0009006,0.07449,0.00198,289.457,26.502,77.188,0.233
220198551,8,220198551.01,5.503,1.196,4.571,1.050,0.7988700,0.0000155,0.01534,0.00045,1394.192,127.530,369.174,0.983
220207374,8,220207374.01,1.280,0.118,1.850,0.239,8.2678840,0.0022557,0.08621,0.00247,366.158,39.290,39.851,0.288
220211923,8,220211923.01,1.614,0.154,1.931,0.228,26.6719210,0.0058014,0.18030,0.00577,49.484,5.996,35.772,0.437
220218012,8,220218012.01,2.804,0.217,2.501,0.245,12.4878290,0.0016839,0.10213,0.00268,63.925,5.784,135.387,0.363
220256496,8,220256496.01,1.530,0.068,1.230,0.084,0.6696410,0.0000372,0.01391,0.00037,2146.552,165.792,104.772,0.144
220288594,8,220288594.01,2.292,0.310,1.669,0.251,4.0276320,0.0003156,0.04341,0.00126,114.393,10.547,53.061,0.837
220290988,8,220290988.01,2.390,0.223,1.994,0.234,10.5529730,0.0011287,0.08801,0.00261,61.203,5.511,92.765,0.263
220294712,8,220294712.01,2.760,0.137,3.424,0.328,23.6110920,0.0025425,0.16819,0.00429,63.838,6.097,43.250,0.400
220309058,8,220309058.01,4.822,0.416,2.577,0.223,9.6493210,0.0004849,0.07182,0.00071,8.970,0.370,155.704,0.922
220321292,8,220321292.01,1.695,0.143,1.792,0.212,16.4751320,0.0056859,0.12823,0.00367,75.593,6.504,60.021,0.253
220376054,8,220376054.01,1.946,0.201,2.466,0.311,8.5960100,0.0006261,0.08474,0.00230,223.637,22.291,56.657,0.613
220400100,8,220400100.01,3.294,0.324,2.414,0.293,10.7947010,0.0008096,0.08423,0.00206,33.629,2.821,95.928,0.258
220410754,8,220410754.01,2.000,0.198,2.134,0.268,19.4993360,0.0045739,0.14235,0.00477,56.787,6.415,86.869,0.620
220434612,8,220434612.01,2.088,0.128,1.289,0.088,2.0106070,0.0002722,0.02655,0.00031,127.159,5.675,143.929,0.133
220436189,8,220436189.01,4.316,0.311,2.396,0.181,13.6124820,0.0019631,0.09229,0.00100,7.473,0.397,321.194,0.409
220436208,8,220436208.01,3.695,0.343,4.186,0.480,5.2360310,0.0001670,0.05922,0.00157,318.299,29.347,70.297,0.511
220437615,8,220437615.01,1.169,0.077,0.812,0.077,1.9793860,0.0002048,0.02828,0.00072,451.740,52.792,96.060,0.121
220466136,8,220466136.01,11.351,1.489,7.700,1.109,17.1084180,0.0007238,0.11287,0.00145,10.032,1.001,312.146,0.728
220471666,8,220471666.01,2.577,0.250,2.576,0.335,8.2695740,0.0005081,0.07841,0.00226,146.994,12.982,62.474,0.870
220487418,8,220487418.01,2.273,0.170,2.762,0.321,14.0732010,0.0014607,0.11734,0.00296,121.545,11.935,44.702,0.285
220503236,8,220503236.01,2.480,0.210,2.617,0.273,8.6795990,0.0003247,0.08175,0.00202,139.325,11.998,30.326,0.410
220504338,8,220504338.01,10.071,0.336,12.154,1.006,5.8176290,0.0000295,0.06330,0.00166,284.005,28.293,14.779,0.818
220510874,8,220510874.01,2.382,0.095,2.257,0.191,7.4732230,0.0003556,0.07356,0.00159,157.341,14.984,57.603,0.246
220522262,8,220522262.01,11.643,1.380,8.840,1.256,8.6878350,0.0000790,0.07334,0.00191,43.677,4.072,18.146,0.688
220522664,8,220522664.01,3.335,0.222,1.928,0.141,16.3723960,0.0014081,0.10569,0.00108,6.139,0.279,187.194,0.677
220554210,8,220554210.01,2.749,0.285,2.648,0.326,27.2368450,0.0084066,0.16853,0.00465,20.301,2.136,128.879,0.391
220556827,8,220556827.01,4.266,0.278,2.577,0.179,6.5312220,0.0005097,0.05743,0.00063,21.947,1.064,292.819,0.694
220571481,8,220571481.01,3.814,0.935,4.479,1.078,8.7864860,0.0006628,0.08438,0.00222,179.762,16.360,57.803,0.979
220592745,8,220592745.01,1.121,0.116,1.365,0.184,6.6685000,0.0013914,0.07044,0.00172,267.707,23.351,32.501,0.262
220592745,8,220592745.02,1.995,0.188,2.497,0.261,11.1380140,0.0008852,0.09944,0.00256,134.703,13.110,32.501,0.282
220598331,8,220598331.01,4.469,0.265,1.853,0.127,10.5937670,0.0003535,0.07029,0.00067,4.539,0.204,163.933,0.148
220616148,8,220616148.01,2.358,0.240,2.794,0.340,6.7349830,0.0011341,0.07077,0.00209,251.397,26.842,71.519,0.521
220616148,8,220616148.02,2.409,0.281,2.853,0.383,15.1544800,0.0020364,0.12101,0.00324,85.836,9.194,71.519,0.541
220621788,8,220621788.01,2.411,0.251,2.403,0.312,13.6822070,0.0010577,0.11028,0.00295,70.794,6.797,40.188,0.719
220629489,8,220629489.01,4.159,0.192,3.538,0.363,1.9208570,0.0000536,0.02735,0.00077,436.054,42.500,167.865,0.287
220650439,8,220650439.01,1.632,0.071,1.583,0.114,2.3990350,0.0001699,0.03402,0.00092,684.990,66.362,78.090,0.173
220663602,8,220663602.01,4.074,0.240,1.403,0.094,6.4064350,0.0003426,0.04686,0.00046,6.418,0.250,295.818,0.302
220674823,8,220674823.01,2.663,0.283,2.584,0.326,13.3456640,0.0011106,0.10734,0.00258,67.460,7.256,71.868,0.523
220696233,8,220696233.01,12.627,0.511,7.275,0.375,28.7353270,0.0009483,0.15359,0.00171,2.891,0.157,326.351,0.711
226042826,11,226042826.01,1.337,0.124,1.369,0.163,3.1289770,0.0006639,0.03954,0.00111,330.948,33.062,55.944,0.166
228735255,10,228735255.01,12.890,1.283,13.138,1.766,6.5691980,0.0000438,0.06762,0.00178,200.272,22.447,1018.489,0.627
228872473,10,228872473.01,3.099,0.410,2.649,0.416,10.5839420,0.0035183,0.08797,0.00238,62.746,7.780,225.359,0.259
232275832,11,232275832.01,3.032,13.129,3.276,16.834,2.3092610,0.0004928,0.03123,0.00159,321.660,152.905,211.429,0.436
245928102,12,245928102.01,3.662,0.453,2.359,0.315,11.1096750,0.0011083,0.08605,0.00207,30.564,2.640,231.665,0.462
245943455,12,245943455.01,4.141,0.384,3.837,0.466,6.3390690,0.0001690,0.06411,0.00171,146.365,15.732,79.424,0.388
245950175,12,245950175.01,3.908,0.353,3.237,0.340,8.2619760,0.0004449,0.07474,0.00227,87.614,7.493,574.101,0.325
245955351,12,245955351.01,3.454,0.326,2.810,0.345,7.9841220,0.0004546,0.07355,0.00216,94.101,10.188,171.552,0.193
245955351,12,245955351.02,5.704,0.503,4.571,0.562,18.4260860,0.0010835,0.12863,0.00336,30.794,3.177,171.552,0.554
245995977,12,245995977.01,4.746,0.452,4.631,0.591,3.3127920,0.0000939,0.04246,0.00124,408.725,37.556,191.589,0.893
246030759,12,246030759.01,12.187,2.101,8.677,1.540,29.9572620,0.0031211,0.16761,0.00463,8.772,0.774,438.889,0.891
246061904,12,246061904.01,5.203,0.544,3.937,0.485,7.0842670,0.0002426,0.06389,0.00190,54.780,4.824,242.675,0.331
246061904,12,246061904.02,4.304,0.449,3.222,0.383,20.6760560,0.0067305,0.13051,0.00333,13.351,1.068,242.675,0.319
246067130,12,246067130.01,1.239,0.116,1.179,0.138,6.7865390,0.0007563,0.07004,0.00196,199.640,21.049,23.010,0.573
246074965,12,246074965.01,7.863,0.366,2.291,0.124,6.9282220,0.0003384,0.04612,0.00057,4.081,0.286,457.681,0.475
246084398,12,246084398.01,1.711,0.170,1.790,0.223,15.3987230,0.0021685,0.12028,0.00322,70.703,7.528,37.412,0.711
246088339,12,246088339.01,3.436,0.293,3.555,0.387,2.9885410,0.0000752,0.04028,0.00099,615.712,55.248,157.770,0.575
246120353,12,246120353.01,5.308,0.271,2.456,0.137,21.4360320,0.0027852,0.11728,0.00129,2.393,0.102,252.544,0.344
246260670,12,246260670.01,9.096,1.301,6.562,1.102,3.8534940,0.0000630,0.04192,0.00105,109.331,11.333,202.675,0.868
246261316,12,246261316.01,3.327,0.320,2.549,0.302,4.6960450,0.0001618,0.05003,0.00143,139.180,15.140,94.548,0.319
246270904,12,246270904.01,5.919,0.705,4.015,0.525,3.9855820,0.0001565,0.04287,0.00050,66.810,4.565,979.781,0.478
246290342,12,246290342.01,3.418,0.405,2.542,0.317,16.6072990,0.0022319,0.11420,0.00287,21.393,1.958,218.343,0.254
246310303,12,246310303.01,3.062,0.255,2.592,0.304,16.9801970,0.0022439,0.12260,0.00344,34.615,3.555,108.247,0.329
246332479,12,246332479.01,4.892,0.622,4.043,0.520,16.1878020,0.0068172,0.13018,0.02066,8.827,16.713,604.377,0.171
246366798,12,246366798.01,2.112,0.193,2.429,0.296,7.5399490,0.0010771,0.07565,0.00194,190.865,19.548,99.581,0.272
246377038,12,246377038.01,10.099,2.110,10.910,2.317,5.1055500,0.0001810,0.05509,0.00143,177.326,18.627,511.695,0.919
246380972,12,246380972.01,3.744,0.384,2.893,0.383,17.7684040,0.0020058,0.12105,0.00340,21.072,2.305,194.791,0.388
246405278,12,246405278.01,4.352,0.386,6.231,0.717,4.4644380,0.0001555,0.05592,0.00162,700.776,80.040,145.583,0.635
246429049,12,246429049.01,2.167,0.186,2.312,0.259,10.4131810,0.0008782,0.09301,0.00215,119.543,11.242,57.223,0.803
246448041,12,246448041.01,2.125,0.234,2.310,0.301,7.2108400,0.0011592,0.07324,0.00172,202.279,18.942,125.508,0.622
246851148,13,246851148.01,3.602,0.393,2.119,0.238,18.8961920,0.0009005,0.11737,0.00138,5.978,0.313,85.107,0.430
246891819,13,246891819.01,3.287,0.315,3.059,0.371,4.8033520,0.0004288,0.04916,0.00140,92.917,7.184,128.719,0.250
246891819,13,246891819.02,4.426,0.478,4.064,0.526,8.4912820,0.0003541,0.07166,0.00195,44.078,3.104,128.719,0.677
246953392,13,246953392.01,1.706,0.154,1.718,0.201,0.6738620,0.0000163,0.01410,0.00037,2437.843,239.347,67.525,0.266
246987084,13,246987084.01,2.630,0.255,2.034,0.251,7.0986950,0.0010017,0.06260,0.00164,47.779,4.250,128.273,0.217
247122439,13,247122439.01,1.372,0.149,1.183,0.141,0.7321700,0.0000182,0.01422,0.00041,1379.015,114.317,80.443,0.377
247164043,13,247164043.01,1.797,0.127,2.299,0.233,5.2283520,0.0002558,0.06227,0.00170,549.810,49.953,38.905,0.327
247382651,13,247382651.01,3.580,0.338,10.974,1.464,1.9715440,0.0004033,0.03814,0.00097,10570.211,924.734,609.015,0.492
247383003,13,247383003.01,2.489,0.226,2.373,0.265,3.5723260,0.0001647,0.04396,0.00134,364.843,35.670,136.270,0.892
247396991,13,247396991.01,2.576,0.219,2.335,0.255,14.6167830,0.0029038,0.10621,0.00288,30.490,3.110,163.636,0.241
247445728,13,247445728.01,2.541,0.238,2.200,0.263,13.7506570,0.0014452,0.10289,0.00278,30.814,2.798,51.511,0.172
247562358,13,247562358.01,3.449,0.375,2.321,0.268,3.0924600,0.0002202,0.03581,0.00037,82.987,3.259,186.575,0.347
247856284,13,247856284.01,3.160,0.307,3.169,0.380,11.9570600,0.0018849,0.09134,0.00254,32.495,2.358,147.116,0.205
247885088,13,247885088.01,3.475,0.473,2.979,0.442,6.3633020,0.0002692,0.05911,0.00155,60.658,4.465,92.975,0.893
248420036,14,248420036.01,5.288,0.493,3.701,0.411,4.7168800,0.0001309,0.04874,0.00146,100.734,9.713,243.581,0.333
248463350,14,248463350.01,1.843,0.104,2.257,0.190,6.3930250,0.0010090,0.07012,0.00192,336.727,31.160,71.041,0.523
248463350,14,248463350.02,4.095,0.154,4.890,0.443,18.7878390,0.0007427,0.14246,0.00374,78.843,8.511,71.041,0.701
248526480,14,248526480.01,9.418,1.630,7.919,1.459,18.4369440,0.0014800,0.12764,0.00344,29.424,3.395,166.657,0.936
248527709,14,248527709.01,3.246,0.334,2.290,0.266,5.7517630,0.0001810,0.05803,0.01167,47.536,337.699,126.984,0.246
248527709,14,248527709.02,3.257,0.316,2.319,0.276,10.4727640,0.0006015,0.08512,0.01428,21.216,11.342,126.984,0.286
248545986,14,248545986.01,3.012,0.171,0.750,0.049,5.2384230,0.0001320,0.03604,0.00044,5.184,0.228,90.367,0.557
248545986,14,248545986.02,2.792,0.175,0.697,0.047,7.7790310,0.0004152,0.04685,0.00053,3.066,0.133,90.367,0.633
248545986,14,248545986.03,2.446,0.166,0.605,0.047,10.1115050,0.0011030,0.05572,0.00061,2.189,0.091,90.367,0.194
248574836,14,248574836.01,8.866,3.317,5.562,2.185,3.9176820,0.0002411,0.04234,0.00823,106.214,156.322,760.200,0.729
