EPIC,Campaign,Candidate,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
205976958,3,205976958.01,3.575,0.189,1.889,0.114,2.3183420,0.0002100,0.02781,0.00029,66.767,3.290,343.240,0.244
205999468,3,205999468.01,3.145,0.394,2.388,0.377,12.2634340,0.0009135,0.09482,0.00216,37.737,3.604,32.970,0.903
206007892,3,206007892.01,1.235,0.126,1.132,0.132,6.3806120,0.0007274,0.06487,0.00182,159.661,14.405,29.845,0.315
206008091,3,206008091.01,1.572,0.162,1.708,0.217,12.3984840,0.0023164,0.10591,0.00260,105.226,10.199,27.029,0.513
206011496,3,206011496.01,1.695,0.170,1.634,0.180,2.3691150,0.0001172,0.03380,0.00090,583.101,53.184,31.662,0.342
206024342,3,206024342.01,1.741,0.191,1.456,0.175,4.5077960,0.0007469,0.05141,0.00130,255.913,25.616,79.365,0.712
206024342,3,206024342.02,2.765,0.244,2.351,0.267,14.6394350,0.0013238,0.11268,0.00289,52.834,4.558,79.365,0.441
206026904,3,206026904.01,1.779,0.183,1.432,0.168,2.5369360,0.0000664,0.03347,0.00104,338.934,32.617,46.384,0.223
206026904,3,206026904.02,3.191,0.325,2.510,0.283,7.0521950,0.0002640,0.06607,0.00183,84.869,7.714,46.384,0.695
206027655,3,206027655.01,3.363,0.325,2.267,0.285,11.2960650,0.0009782,0.08748,0.00223,30.929,3.202,127.064,0.803
206027655,3,206027655.02,3.379,0.399,2.247,0.329,20.6966200,0.0040352,0.13015,0.00321,13.662,1.396,127.064,0.677
206028176,3,206028176.01,1.866,0.257,2.593,0.387,9.3822610,0.0008373,0.09316,0.00250,303.614,29.861,72.713,0.341
206044803,3,206044803.01,1.763,0.148,1.772,0.201,2.5732820,0.0001610,0.03630,0.00097,703.458,72.070,42.027,0.289
206049452,3,206049452.01,3.034,0.352,2.009,0.231,14.4554630,0.0019121,0.10026,0.00098,12.262,0.716,58.371,0.732
206055981,3,206055981.01,3.724,0.425,2.301,0.320,20.6450990,0.0010757,0.13215,0.01891,7.503,2.676,113.104,0.830
206082454,3,206082454.01,1.774,0.205,1.506,0.203,14.3166870,0.0015469,0.10975,0.00280,49.121,5.497,41.156,0.338
206101302,3,206101302.01,2.076,0.232,2.658,0.346,20.2690120,0.0040986,0.15071,0.00408,75.349,7.349,40.113,0.628
206101302,3,206101302.02,3.124,0.349,4.031,0.578,25.4531880,0.0031902,0.17620,0.00516,54.981,6.345,40.113,0.780
206114630,3,206114630.01,4.427,0.817,4.039,0.889,7.4452200,0.0002337,0.07028,0.00184,99.279,9.697,82.034,0.986
206135682,3,206135682.01,1.991,0.213,1.297,0.177,5.0255980,0.0003811,0.04997,0.00132,75.982,8.298,64.411,0.272
206135682,3,206135682.02,2.069,0.205,1.331,0.151,9.6601860,0.0011709,0.07753,0.00212,31.991,3.168,64.411,0.306
206135682,3,206135682.03,2.890,0.251,1.841,0.217,20.2010850,0.0024422,0.12576,0.00300,11.860,1.072,64.411,0.287
206146957,3,206146957.01,1.490,0.147,1.307,0.165,5.7616120,0.0008222,0.06118,0.00169,207.692,19.925,41.368,0.727
206151047,3,206151047.01,1.740,0.163,1.841,0.219,0.7167700,0.0000458,0.01593,0.00041,5023.704,433.786,50.035,0.904
206159027,3,206159027.01,2.441,0.265,1.653,0.198,8.0541150,0.0005090,0.06936,0.00170,45.890,4.405,71.681,0.235
206162305,3,206162305.01,4.857,0.297,2.442,0.174,7.0653610,0.0004452,0.05802,0.00064,13.640,0.841,227.236,0.738
206226146,3,206226146.01,2.599,0.276,2.140,0.260,11.6366070,0.0017071,0.09383,0.00260,53.681,4.600,98.462,0.776
206245553,3,206245553.01,2.538,0.260,2.647,0.316,7.4961980,0.0003643,0.07553,0.00209,201.571,19.652,32.925,0.565
