KIC,KOI,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
2574338,1030.01,2.195,0.217,3.195,0.410,9.229613840,0.000042780,0.09141,0.00263,264.4845,30.8914,181.710,0.02798
2576962,4333.01,2.050,0.170,2.856,0.278,309.255810000,0.014950000,0.92987,0.02194,1.9989,0.2013,76.637,0.12622
2577353,7635.01,1.378,0.148,1.643,0.219,60.458443000,0.001800000,0.30073,0.00760,11.4236,1.1746,96.169,0.49222
2579043,2064.01,2.031,0.151,2.936,0.341,6.312191710,0.000022020,0.07010,0.00179,420.6803,48.1005,157.664,0.01817
2581316,3681.02,1.048,0.095,1.279,0.168,10.514211620,0.000055360,0.09901,0.00268,218.5810,21.9269,37.311,1.43034
2581316,3681.01,9.622,0.285,11.989,1.106,217.831842930,0.000085070,0.74989,0.02069,3.7231,0.3959,37.311,0.00000
2581554,3835.01,3.573,0.347,2.509,0.318,47.148432400,0.000081720,0.22831,0.00612,5.0041,0.4458,99.204,0.51288
2692377,299.01,1.705,0.056,1.570,0.111,1.541676547,0.000001139,0.02522,0.00067,1032.9199,109.9478,57.365,0.36015
2693736,1976.01,2.746,0.117,2.113,0.158,12.124017370,0.000031970,0.09426,0.00237,36.8744,3.2323,145.900,0.02821
2713049,794.01,1.918,0.117,1.865,0.169,2.539183147,0.000005073,0.03544,0.00094,620.4843,68.4559,139.268,0.23560
2715135,1024.01,2.993,0.318,1.947,0.229,5.747711909,0.000007488,0.05429,0.00061,40.3323,2.3511,147.448,0.51708
2715695,3077.02,1.931,0.172,1.314,0.157,7.558429230,0.000086030,0.06564,0.00186,43.8287,5.7119,273.920,0.78728
2715695,3077.01,2.157,0.474,1.525,0.339,4.095781990,0.000020020,0.04360,0.00141,98.4311,11.1831,273.920,0.80151
2716801,3053.02,1.475,0.187,1.469,0.208,9.476705700,0.000166800,0.08453,0.00257,106.9961,12.5922,233.344,0.00319
2716801,3053.01,2.643,0.239,2.641,0.280,42.521700600,0.000594200,0.23132,0.00600,14.0872,2.0006,233.344,0.48742
2716853,1022.01,3.162,0.203,2.888,0.273,18.827440230,0.000079340,0.13206,0.00401,32.1177,3.9580,239.678,0.02137
2717158,3459.01,1.967,0.294,2.187,0.365,13.222614900,0.000168500,0.11035,0.00288,98.6978,12.7605,152.316,2.14294
2718778,2489.01,2.125,0.256,2.768,0.412,3.924530090,0.000016730,0.04915,0.00140,509.6209,81.5993,225.348,0.11160
2831055,4400.01,0.776,0.053,0.832,0.084,2.209231190,0.000014720,0.03305,0.00083,1005.8082,92.4950,69.186,0.10228
2832589,1942.01,3.401,0.296,2.954,0.338,10.849694770,0.000027770,0.08868,0.00251,53.8461,5.8240,267.550,0.59036
2832589,1942.02,2.164,0.828,1.868,0.705,2.433703498,0.000008972,0.03256,0.00090,408.6088,40.9930,267.550,1.11104
2834463,6293.01,1.109,0.113,1.381,0.168,5.888369410,0.000032340,0.06548,0.00196,371.2203,33.8030,81.286,0.06777
2834805,7638.01,0.870,0.053,0.905,0.098,25.003202300,0.000264800,0.16949,0.00453,39.8251,4.3909,57.942,1.14501
2849805,1116.01,1.646,0.233,1.695,0.278,3.749105745,0.000007011,0.04745,0.00119,477.1528,49.0295,49.454,1.60379
2852810,6097.02,1.115,0.282,2.889,0.742,88.433122000,0.006103000,0.46942,0.01237,51.7929,4.6434,73.057,0.03382
2852810,6097.04,0.969,0.110,2.499,0.314,126.505657000,0.007869000,0.59262,0.01791,32.7034,3.5553,73.057,0.04261
2852810,6097.03,1.502,0.178,3.876,0.506,282.343150000,0.010910000,1.01719,0.02688,11.1373,1.0532,73.057,0.07386
2852941,4298.01,0.684,0.038,1.028,0.091,2.894947090,0.000022510,0.04280,0.00115,1435.9380,131.0938,53.932,0.17659
2853029,3259.01,2.702,0.216,2.116,0.213,72.933276200,0.000808100,0.31383,0.00829,3.7696,0.4840,217.715,0.06045
2854181,2232.01,3.833,0.229,3.682,0.375,101.132347500,0.000587600,0.40845,0.01077,3.8400,0.4064,165.947,0.03190
2854181,2232.02,1.677,0.128,1.614,0.168,12.834857000,0.000120600,0.10351,0.00297,61.5004,6.6531,165.947,0.14171
2854698,986.02,2.063,0.104,1.920,0.153,76.049816300,0.000877600,0.33729,0.00869,5.6979,0.5478,117.932,0.01366
2854698,986.01,2.239,0.086,2.091,0.160,8.187394430,0.000019440,0.07647,0.00217,110.5516,11.4480,117.932,0.34332
2854914,1113.01,2.040,0.095,2.559,0.215,25.934064060,0.000079120,0.17760,0.00421,53.4062,4.5368,66.549,0.01061
2854914,1113.02,2.229,0.084,2.797,0.202,83.446348500,0.000369500,0.38929,0.01195,11.2246,1.2934,66.549,0.03463
2860656,4857.01,1.239,0.136,1.663,0.230,4.114973570,0.000044570,0.05137,0.00138,547.6849,68.7664,182.084,0.33521
2861126,4957.02,1.823,0.146,0.918,0.074,4.987924040,0.000032570,0.04594,0.00051,22.0121,1.0835,373.997,0.05810
2970670,6299.01,0.820,0.060,0.737,0.073,0.947554749,0.000004034,0.01809,0.00048,1903.1885,175.4561,91.527,0.03734
2973386,3034.01,3.358,0.456,2.062,0.305,31.020917500,0.000189500,0.16474,0.00182,3.4310,0.1691,202.550,0.79709
2975770,1788.01,7.460,0.245,5.284,0.425,71.525439380,0.000094700,0.29387,0.00890,2.4819,0.2373,120.365,0.06228
2975770,1788.02,3.834,0.725,2.654,0.550,369.069345000,0.005928000,0.88005,0.02657,0.2717,0.0274,120.365,1.11566
2976017,4849.01,0.888,0.069,0.697,0.076,3.199380750,0.000026010,0.03976,0.00103,300.1774,30.1712,79.512,0.20765
2985587,2807.01,1.775,0.414,2.568,0.626,3.375716723,0.000009059,0.04670,0.00133,1053.6807,105.5542,79.843,1.49516
2986833,4875.01,1.169,0.106,0.643,0.062,0.912179022,0.000005638,0.01522,0.00016,274.3307,15.7603,243.467,0.04251
2987027,197.01,9.924,0.236,7.467,0.569,17.276296682,0.000002394,0.11758,0.00308,20.6783,1.8037,85.989,0.07652
2989404,1824.01,1.475,0.083,1.647,0.167,3.553831111,0.000004500,0.04687,0.00134,643.4453,69.1075,35.300,1.08013
2989404,1824.02,1.408,0.154,1.538,0.216,1.678326300,0.000001924,0.02816,0.00077,1809.9457,175.9336,35.300,1.99293
2994092,6301.01,2.460,0.381,3.409,0.675,50.271927000,0.001128000,0.28264,0.00884,25.7415,5.4591,292.616,0.13955
3002478,2380.01,1.669,0.127,1.803,0.171,6.357053140,0.000017520,0.06663,0.00163,225.0462,25.0136,90.989,0.00936
3097926,2186.01,4.265,0.708,3.521,0.625,14.979743350,0.000063250,0.10724,0.00325,26.7064,2.7647,221.200,1.96331
3098605,4844.01,1.135,0.112,0.833,0.092,0.428046051,0.000001093,0.01001,0.00028,3084.1348,298.4888,193.741,0.02825
3098810,1878.01,2.635,0.401,3.407,0.588,40.809573430,0.000094270,0.24427,0.00652,34.7085,3.1846,44.877,0.98495
3101923,3483.01,1.665,0.164,2.346,0.305,82.331756000,0.001983000,0.38966,0.01009,13.6123,1.5773,120.217,0.02091
3102384,273.01,1.874,0.141,2.010,0.229,10.573751447,0.000008488,0.09452,0.00257,118.0336,10.7732,23.422,0.48708
3103227,4091.01,2.726,0.180,3.029,0.304,225.585245000,0.003580000,0.72982,0.01699,2.1469,0.2300,116.483,0.04948
3103473,4395.01,1.504,0.116,1.297,0.151,1.920062587,0.000008516,0.02783,0.00081,510.9649,53.2953,196.102,0.27939
3109550,3225.01,0.617,0.051,0.530,0.055,4.875476500,0.000039760,0.05307,0.00151,181.9364,18.5315,39.163,0.05825
3110177,7644.01,0.849,0.080,0.781,0.104,3.399048140,0.000046140,0.04237,0.00106,357.1073,34.6332,119.453,0.80189
3112129,4144.01,1.060,0.055,1.097,0.099,0.487656278,0.000000846,0.01205,0.00033,6579.3819,632.0468,96.105,0.02489
3114167,795.01,4.107,0.477,5.381,0.687,6.770300385,0.000009537,0.07053,0.00184,257.1722,36.0285,188.399,0.63130
3118797,1950.01,4.513,0.350,3.624,0.409,66.415978900,0.000362600,0.29583,0.00857,4.2814,0.5937,245.250,0.41457
3120355,2099.01,2.603,0.200,2.858,0.307,78.099890800,0.000662700,0.35748,0.00969,8.9003,1.0307,138.087,0.59919
3122872,3203.01,1.287,0.067,2.139,0.199,96.816470000,0.000893700,0.46333,0.01180,22.0601,2.1769,47.730,0.03196
3122913,2490.01,2.717,0.180,1.920,0.183,11.606530610,0.000060840,0.08806,0.00219,27.0522,3.2027,288.257,0.01423
3128552,2055.02,1.603,0.094,1.592,0.148,4.025824340,0.000012710,0.04866,0.00141,333.9363,32.2527,131.772,0.01436
3128552,2055.03,1.337,0.069,1.348,0.117,2.504752820,0.000011440,0.03540,0.00101,656.1280,57.8116,131.772,0.11971
3128552,2055.01,2.297,0.112,2.311,0.193,8.678903120,0.000023820,0.08076,0.00201,123.6090,10.6766,131.772,0.18437
3128552,2055.04,1.445,0.214,1.449,0.244,6.130742430,0.000069710,0.06445,0.00177,194.4968,17.3758,131.772,2.04405
3217264,401.01,4.416,0.142,4.436,0.299,29.198992190,0.000023980,0.17865,0.00473,22.2454,2.1407,73.208,0.03319
3217264,401.03,1.777,0.094,1.792,0.162,55.329139900,0.000517400,0.27424,0.00744,9.4281,0.9692,73.208,0.20501
3217264,401.02,4.659,0.443,4.692,0.511,160.019159800,0.000520800,0.55749,0.01527,2.2845,0.2028,73.208,0.74546
3218908,1108.02,1.197,0.063,1.392,0.128,1.475323222,0.000004392,0.02512,0.00067,1532.9476,149.1786,94.449,0.12870
3218908,1108.03,1.612,0.269,1.894,0.317,4.152461180,0.000015840,0.05003,0.00121,389.7054,36.6571,94.449,0.60953
3218908,1108.01,2.804,0.302,3.244,0.457,18.925372460,0.000052310,0.13727,0.00338,49.8886,5.4632,94.449,0.89421
3219643,3072.01,2.416,0.191,1.808,0.197,24.336702600,0.000290200,0.14837,0.00426,13.3942,1.4031,181.809,0.39336
3219995,2314.01,2.774,0.304,2.794,0.365,18.870587050,0.000067340,0.13790,0.00344,52.2527,5.4647,134.202,1.14029
3230805,3068.01,1.232,0.089,0.838,0.082,3.916795530,0.000026020,0.04253,0.00105,114.8210,10.6490,128.612,0.00708
3230805,3068.02,1.230,0.103,0.846,0.097,6.651714590,0.000057450,0.06069,0.00152,56.7209,5.6689,128.612,0.38859
3231341,1102.04,1.647,0.235,1.807,0.280,4.244390490,0.000027170,0.05148,0.00133,409.2999,53.7638,147.526,2.48810
3231341,1102.02,2.612,0.422,2.938,0.488,8.145159810,0.000043800,0.07918,0.00200,173.6232,21.2023,147.526,3.29742
3231341,1102.01,3.372,297.214,4.170,339.438,12.333438530,0.000077670,0.10499,0.00294,99.1479,10.7864,147.526,3.88963
3231341,1102.03,199.391,5151.259,250.563,5830.944,18.998527900,0.000179900,0.14025,0.00369,55.6708,6.9203,147.526,4.66054
3234843,3057.02,2.344,0.189,2.030,0.262,10.613687120,0.000061920,0.08971,0.00243,66.5442,9.6777,225.848,0.02373
3234843,3057.01,3.584,0.477,3.101,0.427,29.727220000,0.000201600,0.17712,0.00520,17.0474,2.3532,225.848,0.72039
3236705,3343.01,2.466,0.212,2.050,0.228,83.266410300,0.000674900,0.35361,0.00952,4.5774,0.4413,144.956,0.01593
3239171,4967.01,1.858,0.241,2.427,0.366,43.581043000,0.001988000,0.24597,0.00681,21.7644,2.8372,217.185,0.23814
3239671,2066.01,3.523,0.209,3.088,0.300,147.973910000,0.001160000,0.52225,0.01465,2.2311,0.2594,150.693,0.02288
3239945,490.03,1.977,0.084,1.485,0.127,7.406116760,0.000013920,0.06637,0.00164,59.7112,4.8714,75.403,0.07272
3239945,490.01,2.059,0.066,1.549,0.100,4.393157678,0.000005485,0.04685,0.00136,121.9049,10.7970,75.403,0.09729
3239945,490.02,13.408,0.280,10.224,0.803,1071.232624000,0.000643500,1.82471,0.04753,0.0793,0.0071,75.403,0.18321
3239945,490.04,1.582,0.239,1.214,0.204,21.803708000,0.000136100,0.13587,0.00346,13.9839,1.2805,75.403,0.52726
3240158,1106.01,2.120,0.108,2.352,0.164,7.426081230,0.000018800,0.07455,0.00193,210.4588,18.4750,125.854,0.08950
3240158,1106.03,1.301,0.245,1.467,0.305,13.229820300,0.000278300,0.11036,0.00289,96.4135,9.3436,125.854,0.36204
3240158,1106.02,1.357,0.109,1.494,0.166,15.986893200,0.000282800,0.12527,0.00363,74.8162,7.2809,125.854,0.51502
3245969,1101.02,2.427,0.176,1.920,0.214,11.391109630,0.000072740,0.08820,0.00235,36.3774,3.9049,251.749,0.50039
3245969,1101.01,2.260,0.747,1.770,0.638,11.391023580,0.000088580,0.08924,0.00232,36.1950,3.9385,251.749,0.65344
3247268,1089.01,9.074,0.376,9.890,0.809,86.678560520,0.000062620,0.38345,0.01012,7.0683,0.6861,125.303,0.31829
3247268,1089.02,4.810,0.410,5.243,0.555,12.218280970,0.000011280,0.10377,0.00272,95.5615,10.5908,125.303,0.65487
3248501,2052.01,3.880,2.482,4.658,2.864,4.224642160,0.000031460,0.05161,0.00161,464.4055,56.0503,314.837,0.77615
3249334,6318.01,1.785,0.159,1.290,0.158,5.902605860,0.000050020,0.05646,0.00167,74.3877,8.2827,252.397,0.01479
3323887,377.03,1.553,0.064,1.540,0.111,1.592959750,0.000002294,0.02612,0.00067,1297.0344,127.4915,112.195,0.06269
3323887,377.01,8.083,0.213,7.938,0.569,19.270825843,0.000004182,0.13832,0.00377,46.1355,4.5830,112.195,0.13695
3323887,377.02,8.330,0.264,8.221,0.601,38.907875170,0.000013580,0.21963,0.00619,18.3522,1.6680,112.195,0.52507
3328080,3075.01,0.814,0.052,0.665,0.066,4.765590560,0.000027720,0.05248,0.00134,199.8313,18.5758,43.229,0.11843
3329204,1095.01,7.710,0.616,8.690,0.994,51.598095540,0.000046310,0.26807,0.00806,13.0708,1.5487,173.610,0.06247
3338885,1845.02,6.556,1.664,5.275,1.459,5.058213380,0.000004738,0.05161,0.00128,102.1059,9.0644,102.717,1.18211
3338885,1845.01,2.357,0.208,1.903,0.213,1.970340203,0.000002276,0.02747,0.00072,358.6632,25.9957,102.717,1.31597
