KIC,KOI,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
5857656,5205.01,2.446,0.085,2.512,0.200,313.051405000,0.002137000,0.90870,0.02454,1.5615,0.1574,37.453,0.16452
5859725,5207.01,0.695,0.053,0.991,0.111,18.982830500,0.000392600,0.14632,0.00393,91.2589,9.3772,39.227,0.01918
5860968,4384.01,1.888,0.157,2.458,0.268,122.358116000,0.004202000,0.49051,0.01240,5.7267,0.6925,96.419,0.23919
5866724,85.01,1.793,0.054,2.624,0.214,5.859935955,0.000003782,0.06838,0.00157,567.9858,49.0874,23.349,0.04383
5866724,85.02,1.003,0.033,1.486,0.109,2.154911236,0.000002507,0.03525,0.00107,2193.5901,200.8633,23.349,0.11021
5866724,85.03,1.118,0.093,1.641,0.193,8.131213890,0.000019020,0.08519,0.00236,370.5358,29.8409,23.349,0.66595
5871985,2703.01,4.287,0.202,2.942,0.203,213.258526000,0.001214000,0.62892,0.12261,0.4373,0.5658,184.030,0.03470
5877292,7744.01,1.267,0.152,1.448,0.198,11.720169300,0.000229200,0.10144,0.00305,111.4749,12.9394,124.870,0.15716
5880320,1060.02,1.173,0.141,1.822,0.270,4.757961030,0.000034480,0.05949,0.00159,870.0604,89.2650,105.678,0.83311
5880320,1060.04,1.181,0.159,1.838,0.295,8.193450650,0.000070890,0.08607,0.00223,407.2047,43.1378,105.678,1.35852
5880320,1060.01,2.037,0.233,3.074,0.446,12.109687090,0.000062320,0.11244,0.00267,239.2196,26.6081,105.678,2.27516
5880320,1060.03,1.979,0.283,3.036,0.522,20.497275500,0.000334000,0.15869,0.00446,122.1202,13.2317,105.678,3.55193
5881307,7746.01,2.300,0.248,2.349,0.330,393.956080000,0.019940000,1.06388,0.02989,1.0258,0.1517,157.975,0.75383
5881688,843.01,5.448,0.438,6.963,0.802,4.190425659,0.000001611,0.05122,0.00135,492.2837,54.8458,124.719,0.37572
5888187,7749.01,2.049,0.161,1.626,0.166,133.634820700,0.000930900,0.47650,0.01248,1.8285,0.1593,70.626,0.08892
5895158,3935.01,1.483,0.071,1.301,0.108,1.093665854,0.000001869,0.01974,0.00056,1573.2384,139.7409,191.975,0.14325
5898983,3422.01,1.827,0.463,1.992,0.531,40.145475700,0.000897400,0.22915,0.00545,19.3744,1.7231,92.228,0.42782
5900235,3426.01,1.552,0.110,2.053,0.204,58.770104500,0.000931500,0.30764,0.00891,17.9149,2.0423,89.676,0.49596
5905822,2801.01,0.691,0.096,0.992,0.166,6.992050210,0.000038380,0.07619,0.00205,434.3359,39.9575,19.373,2.74565
5906694,4069.01,2.083,0.094,1.473,0.124,13.062435450,0.000071240,0.09453,0.00241,20.7637,1.9330,233.080,0.11869
5938970,4016.01,4.283,0.558,2.932,0.405,125.413230200,0.000389500,0.42649,0.00433,0.7237,0.0508,140.285,0.41949
5940165,2031.01,2.513,0.136,1.787,0.138,9.304138780,0.000025410,0.07732,0.01424,28.4673,21.9625,168.644,0.34254
5941160,654.02,1.858,0.316,1.811,0.326,10.222156970,0.000034340,0.09112,0.00249,107.4012,9.9793,82.179,0.61296
5941160,654.01,1.964,0.259,1.981,0.290,8.594818510,0.000025720,0.08108,0.00197,137.7733,12.3578,82.179,0.66534
5942808,2250.02,2.236,0.449,1.715,0.369,0.626281766,0.000001041,0.01268,0.00036,1482.7417,163.9613,194.606,0.56142
5942808,2250.01,3.764,0.349,2.851,0.359,2.935362067,0.000005061,0.03558,0.00086,186.5668,19.8768,194.606,1.00728
5942949,2525.01,2.702,0.157,1.848,0.168,57.293230900,0.000531500,0.25394,0.00629,2.9451,0.2918,225.496,0.01362
5946568,5211.01,0.720,0.076,0.585,0.073,3.564524900,0.000055840,0.04306,0.00122,283.4304,28.9697,93.261,0.16008
5954894,5213.01,0.762,0.169,0.656,0.151,48.245550100,0.000595300,0.24489,0.00671,9.2198,0.9742,34.774,0.05359
5956342,1052.03,2.241,0.140,2.412,0.232,67.832163800,0.000911900,0.32634,0.00838,10.0810,1.3254,147.564,0.02250
5956342,1052.02,1.550,0.108,1.666,0.159,6.846192360,0.000040360,0.07056,0.00171,213.9144,26.6075,147.564,0.07154
5956342,1052.01,2.419,0.145,2.552,0.266,17.029027860,0.000075320,0.13030,0.00365,64.3710,6.9572,147.564,0.18538
5956342,1052.04,2.275,0.447,2.510,0.484,43.131214700,0.000358200,0.24123,0.00635,18.3163,2.5368,147.564,0.40531
5959719,2498.01,0.953,0.066,0.761,0.085,6.738087010,0.000044730,0.06484,0.00166,97.6228,8.4114,56.860,0.13085
5959719,2498.02,1.040,0.072,0.829,0.097,13.060039900,0.000111900,0.10013,0.00282,39.6883,4.9233,56.860,0.43313
5959753,226.01,2.846,0.100,2.220,0.169,8.308653070,0.000010270,0.07360,0.00221,68.2404,7.4901,110.869,0.35954
5965629,5216.01,2.828,0.350,2.580,0.393,377.311149000,0.007296000,0.97722,0.02785,0.6510,0.0817,168.798,0.20231
5966154,655.02,2.077,0.204,2.536,0.306,151.885188100,0.000956400,0.58662,0.01680,5.9469,0.6106,34.920,1.28329
5966154,655.01,2.241,0.234,2.776,0.324,25.672155900,0.000053290,0.17801,0.00469,62.8736,5.7509,34.920,1.49072
5966322,303.01,2.741,0.095,2.747,0.234,60.928188660,0.000079660,0.29942,0.00783,10.1957,1.0222,37.376,0.01117
5972334,191.02,2.530,0.117,2.430,0.202,2.418406841,0.000002472,0.03385,0.00074,588.1067,54.1967,104.282,0.01445
5972334,191.03,1.342,0.077,1.312,0.115,0.708621057,0.000001357,0.01493,0.00039,2976.2216,278.9229,104.282,0.02945
5972334,191.04,2.331,0.134,2.236,0.212,38.652079600,0.000256400,0.21581,0.00520,14.1345,1.2185,104.282,0.03336
5972334,191.01,12.324,0.539,11.640,0.965,15.358767771,0.000002129,0.11630,0.00347,49.7272,4.4505,104.282,0.44309
5978361,558.01,2.932,0.307,2.778,0.383,9.178585260,0.000014320,0.08100,0.00218,79.6844,7.0678,112.496,0.40652
5978559,2321.01,2.209,0.096,2.167,0.190,95.611461700,0.000863000,0.40569,0.00925,5.7353,0.6077,90.222,0.04682
5978559,2321.02,1.321,0.152,1.282,0.195,36.253099200,0.000961300,0.21227,0.00571,21.4406,2.3110,90.222,0.80466
5980208,2742.01,1.482,0.084,0.940,0.063,0.789160884,0.000001302,0.01437,0.00015,512.6608,24.6680,150.249,0.29283
5980783,2967.01,2.787,0.408,3.465,0.576,37.303319700,0.000587900,0.21668,0.00570,21.0169,2.6257,155.606,1.93339
5985713,3190.01,0.706,0.124,0.850,0.157,8.952940460,0.000087270,0.08706,0.00233,219.2119,26.1796,31.154,0.70173
6020753,657.01,2.257,0.073,1.560,0.119,4.069425638,0.000004336,0.04364,0.00112,108.5346,11.2262,77.494,0.09098
6020753,657.02,2.777,0.102,1.860,0.147,16.282476250,0.000026840,0.10994,0.00317,17.1402,1.9189,77.494,0.32613
6021840,5222.01,2.615,0.241,3.306,0.410,367.675800000,0.031930000,1.02227,0.02812,1.4159,0.1634,179.068,0.15381
6022556,844.01,4.466,0.293,4.593,0.448,3.709870784,0.000003043,0.04537,0.00117,361.5547,37.4724,210.292,0.02289
6025124,3411.01,12.038,8.446,17.132,12.002,26.837718080,0.000014030,0.18385,0.00486,57.3717,5.7023,119.651,0.33345
6025174,5224.01,1.975,0.152,2.635,0.301,171.028691000,0.004428000,0.62555,0.01590,4.4884,0.4322,108.699,0.24686
6026438,2045.02,2.118,0.121,1.470,0.135,24.210197300,0.000246100,0.14613,0.02662,7.6805,5.7461,188.646,0.51013
6026438,2045.03,1.839,0.121,1.256,0.130,16.934810400,0.000199000,0.12074,0.01592,11.0774,5.2303,188.646,0.51410
6026438,2045.01,2.809,0.244,1.845,0.217,5.476658010,0.000013490,0.05588,0.00787,51.7461,37.6841,188.646,1.28903
6026737,2949.02,0.666,0.122,0.929,0.163,3.750304690,0.000044170,0.04933,0.00117,773.8195,71.3970,40.086,1.03400
6026737,2949.01,0.771,0.055,1.046,0.094,10.174703700,0.000126000,0.09652,0.00263,202.9521,21.5260,40.086,1.04736
6029239,304.01,2.436,0.083,2.228,0.179,8.512037736,0.000006475,0.07992,0.00239,137.5853,13.0665,47.402,0.00328
6029239,304.02,0.518,0.169,0.470,0.163,5.518195000,0.006657000,0.05961,0.00172,239.9427,23.0563,47.402,0.15164
6034834,5227.01,1.961,0.106,1.635,0.147,371.564920000,0.013900000,0.96017,0.02554,0.5943,0.0622,65.986,0.21367
6034945,1683.01,1.786,0.226,1.721,0.268,9.115002690,0.000050790,0.08269,0.00239,106.1817,11.3688,128.348,1.10965
6035124,2071.01,1.131,0.052,0.940,0.077,3.856906860,0.000011180,0.04530,0.00123,224.8512,20.7156,63.180,0.42484
6041734,2167.02,1.380,0.292,1.338,0.307,6.957870000,0.000349600,0.06920,0.00208,160.0999,21.4637,195.451,0.17092
6041734,2167.03,2.577,0.190,2.420,0.256,76.536953100,0.000823600,0.34081,0.01061,6.7898,0.9005,195.451,0.24440
6041734,2167.01,3.505,0.492,3.178,0.590,24.339820200,0.000143400,0.15968,0.00398,30.7153,3.8382,195.451,1.56184
6043562,4764.01,1.935,0.158,1.334,0.148,31.420211100,0.000425800,0.17446,0.00474,8.5689,0.8779,173.412,0.06569
6045093,6653.01,1.447,0.214,1.264,0.214,28.268216700,0.000455600,0.17115,0.00458,18.4077,1.7612,102.475,0.03647
6045404,5231.01,2.129,0.298,2.727,0.469,78.876125000,0.002088000,0.36765,0.01098,10.5825,1.9474,182.687,0.05230
6046540,200.01,9.652,0.420,12.925,1.141,7.340714946,0.000000805,0.07632,0.00213,297.5686,32.6772,83.841,0.40532
6057750,6657.01,0.626,0.117,1.412,0.271,1.603705800,0.000025910,0.03104,0.00080,7029.1479,805.5674,44.322,1.76442
6060203,1059.01,1.126,0.085,1.422,0.142,1.022678654,0.000002712,0.01999,0.00051,2864.5238,303.5530,99.624,0.01126
6061773,2001.01,1.373,0.078,1.062,0.100,8.277457640,0.000046110,0.07271,0.00200,64.6067,4.8880,71.825,0.22802
6062088,658.03,1.277,0.065,1.351,0.120,11.329770620,0.000067730,0.09871,0.00260,105.7244,9.1427,85.657,0.03136
6062088,658.02,2.380,0.328,2.515,0.439,5.370639542,0.000006665,0.05953,0.00165,286.8347,28.6121,85.657,0.53431
6062088,658.01,2.386,0.149,2.487,0.272,3.162692075,0.000003023,0.04217,0.00131,558.9134,63.4647,85.657,0.67467
6062929,2315.01,2.522,0.205,2.155,0.225,22.133422400,0.000109200,0.14298,0.00417,20.1822,2.0422,160.061,0.01248
6063220,305.01,2.052,0.061,1.553,0.113,4.603575293,0.000004668,0.04837,0.00135,105.6475,9.7890,51.011,0.22729
6067545,5236.01,1.849,0.095,1.971,0.177,550.865140000,0.012150000,1.34110,0.03435,0.7460,0.0617,48.239,0.04705
6071903,306.01,2.602,0.096,2.201,0.173,24.307843230,0.000058510,0.15300,0.00374,19.3063,1.9277,60.465,0.25347
6103377,3004.01,2.117,0.440,2.602,0.597,20.070875700,0.000486800,0.14738,0.00377,60.3329,5.9098,126.606,0.85764
6103377,3004.02,1.854,0.513,2.278,0.669,7.039651410,0.000078360,0.07259,0.00193,253.6244,23.7688,126.606,0.87704
6106046,7762.01,1.442,0.123,1.256,0.152,8.507351200,0.000097720,0.07745,0.00230,100.4521,11.1347,141.639,0.14910
6106282,4087.01,2.874,0.151,1.884,0.104,101.110701400,0.000952900,0.36640,0.00454,0.8023,0.0429,174.519,0.06329
6111011,6664.01,1.307,0.164,1.651,0.255,14.763914500,0.000265500,0.11877,0.00314,82.1486,12.2218,137.109,0.01058
6114140,8117.01,3.203,0.240,3.815,0.397,0.933745798,0.000002348,0.01926,0.00051,4093.4660,459.4428,113.071,3.06256
6116172,6142.02,1108.934,782.859,3055.860,2230.646,111.655460000,0.000673700,0.56736,0.01308,58.7542,6.7172,241.981,0.48310
6125481,659.01,1.828,0.072,2.245,0.181,23.205793530,0.000060870,0.16677,0.00491,73.1865,7.4698,53.956,0.04059
6128245,6666.01,0.867,0.078,0.807,0.088,1.118510435,0.000007069,0.02050,0.00055,1802.9839,190.5082,113.996,0.16108
6131130,3307.01,1.643,0.137,1.299,0.144,10.507178100,0.000108200,0.08545,0.00229,48.5022,5.9158,188.512,0.18701
6131236,1051.01,2.158,0.315,2.523,0.400,6.796853530,0.000022470,0.07111,0.00183,242.7554,25.4386,119.076,0.62026
6144039,4602.01,1.271,0.265,1.198,0.270,2.858550490,0.000021800,0.03806,0.00096,474.6055,43.7556,85.570,2.91873
6152974,216.02,1.639,0.094,1.353,0.121,7.518545370,0.000049330,0.06910,0.00195,77.3815,7.8583,156.454,0.11605
6152974,216.01,7.195,0.246,5.853,0.446,20.172024672,0.000009335,0.13295,0.00370,20.7218,2.1066,156.454,0.23654
6186182,4496.01,2.405,0.217,2.247,0.267,96.384483000,0.001400000,0.39605,0.01068,4.3085,0.4969,171.939,0.06255
6186964,2839.01,2.279,0.151,1.501,0.109,2.164570593,0.000006423,0.02837,0.00032,146.0431,7.7909,256.702,0.25453
6187508,6672.01,1.248,0.113,1.149,0.132,2.284943010,0.000010430,0.03231,0.00078,507.7313,43.6221,115.274,0.00524
6191521,847.01,6.143,0.436,8.324,1.126,80.872346900,0.000146800,0.37162,0.01019,9.8378,1.2830,117.257,0.61819
6197215,2829.01,1.250,0.076,1.783,0.166,10.613453330,0.000025520,0.10048,0.00252,221.2161,21.5061,37.293,0.11202
6198182,2636.02,0.639,0.606,0.651,0.623,5.177722600,0.000975600,0.05839,0.00159,303.3828,25.3437,36.972,0.01084
6198182,2636.01,0.604,0.034,0.608,0.060,3.881483850,0.000034030,0.04810,0.00132,456.0706,39.4242,36.972,0.24133
6198670,5248.01,1.632,0.156,1.746,0.236,179.254650000,0.022870000,0.61126,0.01736,2.2120,0.2363,119.862,0.10832
6198999,1687.01,2.109,0.104,1.493,0.124,3.932460690,0.000010360,0.04264,0.00097,108.1473,10.1767,167.539,0.41834
6200235,2350.01,1.982,0.328,1.546,0.265,1.078389713,0.000002588,0.01873,0.00053,931.4628,95.4816,180.339,1.22364
6203955,5249.01,1.234,0.106,1.205,0.141,19.453429600,0.000382100,0.14165,0.00351,53.1379,5.3680,88.777,0.04803
6205228,1882.01,1.760,0.089,2.272,0.205,3.770590654,0.000007986,0.04875,0.00151,656.9389,79.8077,83.701,0.13733
6209677,1750.02,1.031,0.073,0.940,0.084,2.537421640,0.000012710,0.03480,0.00103,520.3505,51.1125,83.366,0.19384
6209677,1750.01,1.465,0.086,1.319,0.116,7.768456390,0.000041110,0.07331,0.00203,117.2431,11.2626,83.366,0.39803
6211812,2638.01,1.726,0.109,1.461,0.155,2.524017517,0.000006547,0.03371,0.00094,374.0750,44.1015,132.769,0.04037
6221385,6145.02,2.521,0.136,2.869,0.279,32.657035000,0.003033000,0.20405,0.00555,30.9193,3.2601,86.591,0.00669
6221385,6145.01,2.782,0.336,3.197,0.440,19.672324000,0.001116000,0.14484,0.00420,61.9477,5.6202,86.591,0.86292
6221385,6145.03,1.794,0.305,2.028,0.347,7.313845400,0.000687100,0.07559,0.00201,227.8018,23.7587,86.591,1.05179
6223324,4274.01,1.133,0.109,1.551,0.186,1.975074240,0.000013860,0.03174,0.00087,1424.1023,163.3827,127.261,0.12987
6226290,2019.01,2.953,0.220,2.892,0.307,14.088264420,0.000052440,0.10944,0.00327,55.4666,6.4698,249.268,0.12292
6226908,4068.01,3.696,0.554,3.219,0.494,19.597317000,0.000152800,0.13223,0.00346,26.4212,2.9923,188.240,1.52346
6231721,7773.01,1.209,0.134,1.114,0.153,2.693399740,0.000029510,0.03541,0.00097,367.4726,44.7369,200.893,0.21709
6265792,2753.01,0.808,0.045,1.027,0.094,0.935115863,0.000002631,0.01916,0.00056,3923.0469,385.3479,48.754,0.18013
6265961,6680.01,0.780,0.063,0.826,0.085,5.525074060,0.000054690,0.06102,0.00177,273.1124,27.0753,54.992,0.11233
6266741,508.02,2.743,0.096,2.765,0.225,16.665899400,0.000029700,0.12427,0.00331,49.1966,5.1413,76.521,0.39604
6266741,508.01,2.967,0.342,3.045,0.446,7.930583519,0.000009410,0.07545,0.00208,134.0313,15.0404,76.521,0.62182
6266866,5254.01,0.801,0.069,0.884,0.098,232.916142000,0.004621000,0.74044,0.01906,2.0337,0.1751,19.569,0.12602
6272413,1129.01,1.733,0.421,1.455,0.349,4.897210060,0.000019960,0.05123,0.00144,125.1512,11.4128,133.550,0.54972
6276477,849.01,2.690,0.138,2.351,0.201,10.355331160,0.000020870,0.08690,0.00230,66.9825,6.8516,119.593,0.02636
6276791,4477.02,1.890,0.165,1.979,0.200,9.328679520,0.000038120,0.08564,0.00236,113.8339,13.3816,164.538,0.01219
6276791,4477.01,1.421,0.128,1.497,0.201,5.301797860,0.000042010,0.05855,0.00146,246.8518,26.0617,164.538,0.25022
6277410,7774.01,1.388,0.135,1.248,0.147,6.325895740,0.000060330,0.06416,0.00176,151.4708,20.6173,148.531,0.08053
6287313,2221.01,1.840,0.151,2.478,0.322,10.627886950,0.000082210,0.09697,0.00251,161.7843,22.1144,140.680,0.46810
6289650,415.01,6.838,0.276,8.659,0.892,166.787655100,0.000131200,0.60919,0.01807,4.1813,0.4986,59.396,0.01808
6290935,4302.01,0.737,0.052,1.058,0.104,5.533120060,0.000071770,0.06538,0.00192,577.5667,63.3216,45.267,0.25107
6291653,850.01,10.366,0.565,9.743,0.932,10.526294577,0.000001783,0.08921,0.00248,67.0375,7.4069,123.126,0.46367
6294819,2852.01,1.414,0.134,1.373,0.199,0.675650404,0.000002395,0.01469,0.00041,3392.1528,575.4543,164.852,0.03285
6307000,6687.01,1.160,0.107,0.942,0.098,1.002591901,0.000004985,0.01761,0.00046,918.9975,80.5421,192.156,0.24472
6307083,2050.02,0.879,0.551,0.631,0.423,3.177964080,0.000018680,0.03845,0.00108,225.3373,23.6616,44.392,0.47461
6309763,611.01,9.000,0.493,11.988,0.986,3.251659087,0.000000366,0.04507,0.00110,960.7832,86.4268,98.034,0.77039
6311891,4627.01,1.301,0.092,1.207,0.136,7.517317450,0.000095490,0.07128,0.00194,113.7321,11.1541,120.326,0.18647
6342333,2065.01,3.561,0.462,2.836,0.437,80.232146700,0.000391400,0.34363,0.00949,4.4521,0.4333,90.988,1.28762
6343170,2419.01,3.004,0.471,3.097,0.544,9.956670350,0.000058540,0.09022,0.00285,124.3386,16.7799,175.452,2.06596
6346809,2775.01,176.642,445.927,134.130,370.503,17.577045690,0.000055890,0.12451,0.00379,31.1485,3.7968,113.554,2.32311
6347299,661.02,1.501,0.202,1.470,0.225,25.661381600,0.000317800,0.16903,0.00499,33.7424,3.0523,77.781,1.34708
6347299,661.01,2.241,0.235,2.221,0.282,14.400904140,0.000040430,0.11501,0.00317,72.1442,6.4876,77.781,1.54430
6349881,4121.01,3.441,0.589,2.617,0.527,198.088873000,0.002491000,0.61132,0.01545,1.0257,0.1305,157.738,0.68958
6350882,4410.01,1.518,0.134,1.509,0.205,5.044043660,0.000039340,0.05588,0.00177,265.9708,30.7197,169.348,0.04231
6356207,2021.01,2.338,0.126,1.836,0.145,3.764170120,0.000011490,0.04282,0.00105,155.4438,15.5872,212.014,0.23815
6356400,7776.01,5.078,0.918,3.445,0.638,541.924520000,0.019340000,1.13607,0.01225,0.1029,0.0063,197.654,3.92310
6357290,3040.01,1.676,0.127,1.606,0.160,4.809987800,0.000026590,0.05410,0.00153,254.5543,34.1322,194.125,0.13418
6359881,5268.01,2.207,0.236,2.859,0.356,474.228970000,0.030710000,1.20341,0.03555,0.9004,0.1075,161.299,0.17454
6359929,5269.01,3.137,0.275,2.403,0.278,371.506310000,0.011670000,0.93217,0.02494,0.4554,0.0439,169.452,0.23209
6362874,1128.01,1.381,0.055,1.138,0.092,0.974868896,0.000000766,0.01810,0.00055,1545.9308,149.2917,44.691,0.11921
6364215,2404.01,1.782,0.350,1.992,0.439,2.100816290,0.000014820,0.03150,0.00088,902.6900,109.2487,136.914,3.18137
6368175,3503.02,0.964,0.156,1.206,0.197,31.824530400,0.000792800,0.20468,0.00579,44.1043,4.4281,48.246,0.38773
6368175,3503.01,0.922,0.158,1.130,0.210,21.187618500,0.000713700,0.15599,0.00371,74.9576,7.4678,48.246,0.75148
6368230,3356.01,1.594,0.155,2.228,0.287,26.084121200,0.000505700,0.17846,0.00398,53.3786,6.8194,123.641,0.07700
6368905,5276.01,2.899,0.227,2.330,0.263,220.720142000,0.006180000,0.65277,0.01742,0.7795,0.0929,200.513,0.09175
6372194,5278.01,10.048,0.796,9.590,1.053,281.592157700,0.000788200,0.79820,0.02283,0.8239,0.1364,184.125,0.34002
6381846,509.01,2.888,0.146,2.734,0.270,4.166966280,0.000004067,0.04811,0.00126,264.4880,28.3921,160.119,0.02134
6381846,509.02,3.179,0.167,2.993,0.294,11.463471650,0.000017060,0.09534,0.00238,68.3380,8.0084,160.119,0.06467
6381846,509.03,2.333,0.132,2.171,0.236,39.603400000,0.000269000,0.21625,0.00592,13.4368,1.6955,160.119,0.17425
6382217,2036.02,2.005,0.390,1.260,0.240,5.795294950,0.000036230,0.05393,0.00062,32.7011,1.8567,207.152,0.92990
6382217,2036.01,3.244,0.310,2.038,0.205,8.411003050,0.000023260,0.06914,0.00084,19.6241,1.1650,207.152,1.65581
6383785,239.02,1.325,0.079,1.516,0.150,3.622755060,0.000014990,0.04680,0.00144,542.8698,55.1083,106.144,0.00610
6383785,239.01,3.758,0.171,4.406,0.372,5.640676975,0.000003725,0.06262,0.00162,302.4451,25.8178,106.144,0.02449
6392727,851.01,6.081,0.404,6.557,0.607,4.583520948,0.000004180,0.05269,0.00131,308.7190,36.3217,250.014,0.03406
6422070,852.01,2.727,0.365,3.098,0.501,3.761818430,0.000011400,0.04711,0.00127,442.8076,54.3033,151.410,2.12511
6422155,510.01,2.459,0.205,2.685,0.266,2.940304817,0.000004738,0.03969,0.00109,548.1339,57.4307,120.122,1.24770
6422155,510.02,2.701,0.229,2.963,0.334,6.388996580,0.000013970,0.06592,0.00176,199.5066,18.2787,120.122,1.50810
6422155,510.04,3.083,0.536,3.274,0.604,35.118443200,0.000216800,0.20782,0.00595,20.2658,1.7977,120.122,1.75413
6422155,510.03,2.508,0.378,2.659,0.460,14.627096850,0.000065530,0.11482,0.00350,66.2929,5.8614,120.122,1.94047
6425597,4861.01,2.033,0.204,2.350,0.300,29.120651900,0.000379500,0.18386,0.00521,29.2935,3.4792,170.491,0.08502
6428700,853.01,3.629,0.422,2.507,0.360,8.203969580,0.000014880,0.07011,0.00188,45.8800,4.8213,177.529,1.34555
6428700,853.02,3.566,0.532,2.472,0.411,14.496451860,0.000063600,0.10191,0.00270,21.9163,2.2288,177.529,3.09595
6428794,4054.01,2.705,0.412,2.133,0.369,169.135056000,0.001553000,0.55423,0.01521,1.3310,0.1294,99.916,1.14734
6429812,2408.01,2.324,0.395,2.189,0.380,94.289223000,0.000646600,0.38898,0.01028,4.5098,0.4241,63.766,0.40665
6432345,2757.01,2.868,0.131,2.526,0.216,234.635652000,0.001384000,0.70780,0.02047,1.1434,0.1319,116.498,0.03017
6435936,854.01,3.928,0.218,2.123,0.141,56.056075400,0.000275300,0.23547,0.00269,0.9811,0.0525,261.745,0.01620
6436029,2828.01,3.468,0.181,2.447,0.200,59.496900900,0.000488500,0.25947,0.00677,2.7952,0.2804,225.377,0.40497
6436029,2828.02,4.173,0.222,2.871,0.284,505.462916000,0.008292000,1.07447,0.02940,0.1598,0.0157,225.377,0.46037
6436505,6707.01,2.373,0.169,1.735,0.196,43.535891000,0.000422700,0.22344,0.00566,7.2463,1.0707,196.685,0.23737
6438099,2976.01,3.118,1.135,3.065,1.075,21.613133620,0.000095470,0.14488,0.00363,27.9118,3.9008,288.511,0.29490
6441738,1246.01,1.985,0.132,2.260,0.247,19.037234420,0.000073750,0.14032,0.00397,56.2436,5.8707,90.010,0.01867
6442340,664.01,1.592,0.107,1.647,0.189,13.137477850,0.000041250,0.10809,0.00242,87.7386,8.2889,42.610,1.37692
6442340,664.02,1.161,0.136,1.236,0.181,7.781998620,0.000037670,0.07690,0.00204,175.6971,16.8769,42.610,1.40377
6442340,664.03,1.102,0.146,1.136,0.177,23.443374800,0.000268700,0.16001,0.00432,40.6873,4.1125,42.610,2.33581
6442377,176.01,2.252,0.129,3.104,0.288,30.229102740,0.000073560,0.20315,0.00561,63.4646,6.0709,45.482,1.06846
6442735,5283.01,0.886,0.073,1.003,0.114,18.782160300,0.000406100,0.13865,0.00355,59.0206,5.5039,60.279,0.28323
6443093,5284.01,29.712,543.395,38.087,721.823,389.316341000,0.002493000,1.06319,0.02887,1.1659,0.1305,75.464,0.95768
6443274,7567.01,2.249,0.200,1.456,0.156,608.205720000,0.026160000,1.34004,0.19764,0.0771,0.0408,127.977,0.37042
6451368,7780.01,0.750,0.084,1.137,0.155,5.336057400,0.000142300,0.06531,0.00169,794.0613,79.0994,100.568,0.00491
6451936,511.01,2.516,0.094,2.835,0.262,8.005790960,0.000011230,0.07859,0.00237,197.9351,20.5060,90.647,0.06731
6451936,511.02,1.382,0.072,1.591,0.151,4.263743780,0.000016960,0.05213,0.00137,453.4766,54.4081,90.647,0.26559
6462863,94.02,2.782,0.077,3.815,0.266,10.423677439,0.000007173,0.09931,0.00265,221.0855,20.1334,34.023,0.00545
6462863,94.04,1.138,0.061,1.550,0.128,3.743166733,0.000005614,0.05016,0.00144,862.7789,88.5121,34.023,0.00830
6462863,94.01,7.499,0.215,10.209,0.718,22.342964828,0.000003404,0.16511,0.00489,79.6945,6.8874,34.023,0.03171
6462863,94.03,4.540,0.161,6.123,0.512,54.319961510,0.000033910,0.29612,0.00798,24.8808,2.1731,34.023,0.52617
6468138,1826.01,2.856,0.089,3.120,0.258,134.252047400,0.000546700,0.51674,0.01402,4.4282,0.4492,46.799,0.00000
6471021,372.01,8.964,0.250,8.332,0.608,125.629147900,0.000240500,0.47897,0.01271,3.3504,0.2922,66.415,0.50646
6501635,560.01,3.461,0.482,2.881,0.434,23.675131530,0.000090320,0.14990,0.00432,19.0459,1.5791,137.546,1.32532
6504954,1790.01,7.607,0.572,8.273,0.900,130.354392900,0.000213900,0.49818,0.01469,3.8115,0.4388,123.682,0.51703
6507433,3815.01,7.044,2.517,7.990,2.895,4.742552100,0.000025740,0.05567,0.00150,372.7638,44.6514,337.966,0.42823
6508221,416.04,0.989,0.178,0.751,0.137,31.532298700,0.000942100,0.17786,0.00471,10.7765,0.8453,63.369,0.04450
6508221,416.03,1.048,0.089,0.754,0.078,9.747658780,0.000098820,0.08173,0.00206,50.7249,4.6128,63.369,0.70058
6508221,416.01,4.178,0.275,3.119,0.295,18.207958350,0.000013480,0.12367,0.00313,22.0620,1.8331,63.369,0.75814
6508221,416.02,4.018,0.451,2.957,0.412,88.255372900,0.000210700,0.35425,0.00968,2.6970,0.2411,63.369,1.11846
6511182,5288.01,2.273,0.200,2.066,0.229,29.563295200,0.000217000,0.17820,0.00523,18.1985,2.2209,142.242,0.04397
6517064,5289.01,2.185,0.156,1.959,0.205,181.812140000,0.008056000,0.61140,0.01497,1.9046,0.1928,137.557,0.12574
6517200,5290.01,2.358,0.192,2.128,0.249,435.506350000,0.038990000,1.07455,0.02950,0.5366,0.0618,195.739,0.22383
6520519,4749.01,1.072,0.105,1.064,0.140,1.976500730,0.000010960,0.02991,0.00081,821.9902,94.5415,131.858,0.04144
6520753,4504.02,1.876,0.183,1.696,0.167,8.119343000,0.000160200,0.07426,0.00225,87.1804,10.4059,316.313,0.03091
6520753,4504.01,1.771,0.174,1.561,0.194,4.130298320,0.000052160,0.04700,0.00129,212.6856,25.7317,316.313,0.03567
